,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Pusillimonas,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Pusillimonas,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Pusillimonas|s_Pusillimonas_sp._DMV24BSW_D,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Pusillimonas,s_Pusillimonas_sp._DMV24BSW_D
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Pusillimonas|s_Pusillimonas_sp._T7-7,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Pusillimonas,s_Pusillimonas_sp._T7-7
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Pusillimonas|s_Pusillimonas_sp._ye3,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Pusillimonas,s_Pusillimonas_sp._ye3
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Alcaligenes,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Alcaligenes,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Alcaligenes|s_Alcaligenes_aquatilis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Alcaligenes,s_Alcaligenes_aquatilis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Alcaligenes|s_Alcaligenes_faecalis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Alcaligenes,s_Alcaligenes_faecalis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_ruhlandii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_ruhlandii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_pestifer,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_pestifer
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_insolitus,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_insolitus
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_sp._MFA1_R4,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_sp._MFA1_R4
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_sp._B7,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_sp._B7
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_sp._AONIH1,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_sp._AONIH1
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_denitrificans,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_denitrificans
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_spanius,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_spanius
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_xylosoxidans,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Achromobacter,s_Achromobacter_xylosoxidans
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_pertussis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_pertussis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_petrii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_petrii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_flabilis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_flabilis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_pseudohinzii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_pseudohinzii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_bronchialis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_bronchialis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_genomosp._13,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_genomosp._13
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_genomosp._6,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_genomosp._6
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_trematum,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_trematum
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_avium,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_avium
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_sp._N,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_sp._N
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_sp._H567,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_sp._H567
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_genomosp._8,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_genomosp._8
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_holmesii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_holmesii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_genomosp._9,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_genomosp._9
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_hinzii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_hinzii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_bronchiseptica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_bronchiseptica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella_parapertussis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella_parapertussis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae,family,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Mycoavidus,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Mycoavidus,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Mycoavidus|s_Mycoavidus_sp._B2-EB,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Mycoavidus,s_Mycoavidus_sp._B2-EB
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Mycoavidus|s_Mycoavidus_cysteinexigens,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Mycoavidus,s_Mycoavidus_cysteinexigens
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ephemeroptericola,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ephemeroptericola,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ephemeroptericola|s_Ephemeroptericola_cinctiostellae,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ephemeroptericola,s_Ephemeroptericola_cinctiostellae
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Chitinimonas,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Chitinimonas,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Chitinimonas|s_Chitinimonas_arctica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Chitinimonas,s_Chitinimonas_arctica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Mycetohabitans,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Mycetohabitans,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Mycetohabitans|s_Mycetohabitans_rhizoxinica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Mycetohabitans,s_Mycetohabitans_rhizoxinica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Caballeronia,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Caballeronia,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Caballeronia|s_Caballeronia_insecticola,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Caballeronia,s_Caballeronia_insecticola
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Caballeronia|s_Caballeronia_sp._SBC2,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Caballeronia,s_Caballeronia_sp._SBC2
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Caballeronia|s_Caballeronia_sp._SBC1,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Caballeronia,s_Caballeronia_sp._SBC1
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Limnobacter,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter|s_Limnobacter_sp._SAORIC-580,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Limnobacter,s_Limnobacter_sp._SAORIC-580
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_wuianus,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_wuianus
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_difficilis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_difficilis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_duraquae,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_duraquae
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_sp._LimPoW16,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_sp._LimPoW16
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_sp._MWH-UH21B,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_sp._MWH-UH21B
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_asymbioticus,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_asymbioticus
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_acidiphobus,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_acidiphobus
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_paneuropaeus,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_paneuropaeus
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Polynucleobacter|s_Polynucleobacter_necessarius,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Polynucleobacter,s_Polynucleobacter_necessarius
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Lautropia,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Lautropia,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Lautropia|s_Lautropia_mirabilis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Lautropia,s_Lautropia_mirabilis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia_pseudosolanacearum,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_Ralstonia_pseudosolanacearum
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_blood_disease_bacterium_A2-HR_MARDI,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_blood_disease_bacterium_A2-HR_MARDI
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia_insidiosa,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_Ralstonia_insidiosa
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia_pickettii,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_Ralstonia_pickettii
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia_mannitolilytica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_Ralstonia_mannitolilytica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia_solanacearum,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Ralstonia,s_Ralstonia_solanacearum
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_sputorum,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_sputorum
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_fibrosis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_fibrosis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_faecigallinarum,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_faecigallinarum
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_pulmonicola,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_pulmonicola
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_sp._XY-2,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_sp._XY-2
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_thiooxydans,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_thiooxydans
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_apista,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_apista
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_vervacti,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_vervacti
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_oxalativorans,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_oxalativorans
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_norimbergensis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_norimbergensis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Pandoraea|s_Pandoraea_pnomenusa,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Pandoraea,s_Pandoraea_pnomenusa
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia,genus,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_atlantica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_atlantica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_terricola,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_terricola
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_terrae,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_terrae
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_phenoliruptrix,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_phenoliruptrix
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_tropica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_tropica
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_graminis,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_graminis
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_megapolitana,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_megapolitana
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_hospita,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_hospita
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Paraburkholderia|s_Paraburkholderia_caledonica,species,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Burkholderiaceae,g_Paraburkholderia,s_Paraburkholderia_caledonica
