,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae,family,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Caldimicrobium,genus,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Caldimicrobium,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Caldimicrobium|s_Caldimicrobium_thiodismutans,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Caldimicrobium,s_Caldimicrobium_thiodismutans
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfatator,genus,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfatator,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfatator|s_Thermodesulfatator_indicus,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfatator,s_Thermodesulfatator_indicus
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfobacterium,genus,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfobacterium,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfobacterium|s_Thermodesulfobacterium_sp._TA1,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfobacterium,s_Thermodesulfobacterium_sp._TA1
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfobacterium|s_Thermodesulfobacterium_geofontis,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfobacterium,s_Thermodesulfobacterium_geofontis
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermodesulfobacterium|s_Thermodesulfobacterium_commune,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermodesulfobacterium,s_Thermodesulfobacterium_commune
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermosulfurimonas,genus,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermosulfurimonas,
