Family,MFVF11801,MFVF11801,MFVF11802,MFVF11803,MFVF11804,MFVF11806,MFVF11807,MFVF11808,MFVF11809,MFVF11815,MFVF11817,MFVF11818,MFVF11819,MFVF11821,MFVF11822,MFVF11823,MFVF11824,MFVF11825,MFVF11829,MFVF11836,MFVF11837,MFVF11838,MFVF11839,MFVF11841,MFVF11842,MFVF11844,MFVF11845,MFVF21801,MFVF21802,MFVF21803,MFVF21804,MFVF21806,MFVF21807,MFVF21808,MFVF21809,MFVF21815,MFVF21817,MFVF21818,MFVF21819,MFVF21821,MFVF21822,MFVF21823,MFVF21824,MFVF21829,MFVF21837,MFVF21838,MFVF21839,MFVF21841,MFVF21842,MFVF31801,MFVF31803,MFVF31804,MFVF31807,MFVF31808,MFVF31815,MFVF31817,MFVF31818,MFVF31819,MFVF31821,MFVF31822,MFVF31823,MFVF31824,MFVF31836,MFVF31838,MFVF31839,MFVF31841,MFVF31844,MFVS11801,MFVS11802,MFVS11803,MFVS11804,MFVS11806,MFVS11807,MFVS11808,MFVS11809,MFVS11815,MFVS11817,MFVS11818,MFVS11819,MFVS11821,MFVS11822,MFVS11823,MFVS11824,MFVS11825,MFVS11829,MFVS11836,MFVS11837,MFVS11838,MFVS11839,MFVS11841,MFVS11842,MFVS11844,MFVS11845,MFVS21801,MFVS21802,MFVS21803,MFVS21804,MFVS21806,MFVS21807,MFVS21808,MFVS21809,MFVS21815,MFVS21817,MFVS21818,MFVS21819,MFVS21821,MFVS21822,MFVS21823,MFVS21824,MFVS21825,MFVS21829,MFVS21836,MFVS21837,MFVS21838,MFVS21839,MFVS21841,MFVS21842,MFVS21844,MFVS21845,MFVS31801,MFVS31802,MFVS31803,MFVS31804,MFVS31806,MFVS31807,MFVS31808,MFVS31809,MFVS31815,MFVS31817,MFVS31818,MFVS31819,MFVS31821,MFVS31822,MFVS31823,MFVS31824,MFVS31825,MFVS31836,MFVS31837,MFVS31838,MFVS31841,MFVS31842,MFVS31844,MFVS31845
VFG1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.021791998,31.54045705,4.598801563,0,0,0,0,0,0,5.711762095,0,51.36997244,0,0,33.06133771,0,0,0,0,43.15670588,0,0,13.92303688,19.63494552,0,0,0,211.2626484,0,50.95190458,39.98641166,0,0,0,0,16.58627997,19.59580497,3.789111218,0,0,0,0,0,0,0,0,0,142.9832449,0,18.08620398,14.43604535,37.38630404,36.24252951,522.115194,7.552174367,310.2422298,317.7658246,4.296871819,13.07118018,0,9.440807072,65.62824802,38.83397627,63.87698061,0,0,75.2245277,37.5547877,0,0,1.411860207,7.783648448,62.63011338,22.44544124
VFG0612,438.3827645,438.3827645,17.78796131,13.57593341,14.37869091,3.754904261,14.4020473,3.68101212,0.177713953,7.35416148,0,1.452246368,14.20595023,0.344023722,64.5818078,14.24734289,6.627399603,410.2903629,0.641700908,1.951890344,0.666349069,0,0.437862624,1.231668883,0.150365796,0,2.388528863,1.834882163,18.48470107,16.54343486,57.4365726,5.426104696,0,1.574477792,7.937067825,5.672319873,0.753792323,12.72334288,10.716266,0.384573458,54.90136121,56.38044692,18.03252201,0,4.484958423,0.146827608,2.004344806,1.835816336,0.313724493,1.161525528,10.31209593,2.600618309,0,10.09863741,61.93780339,9.098057739,6.224294928,10.12167013,2.629595415,265.8760434,0.952327007,6.006203452,0.90411166,0,0,11.26242237,8.043470896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.112431612,0,0.386628781,0.476087489,0,0,0,0,0,0,0,0
VFG0863,1007.899742,1007.899742,0,0,0,0,0,0,0,0,0,2.09123477,0,0,18.70645467,0,0,0,0,0,0,0,0,0.909540098,1.732213968,0,1.146493854,0,0,9.783386528,0,0,0,0,5.836277958,0,0.72364063,11.53418783,3.458021969,0,11.09585405,0,0,0,0,0,0.836596093,0,1.807053082,0.983880447,0,0,0,0,0,0,9.114899691,3.157084114,0,34.94907708,0,0,0,0,0,0.982902316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VFG1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.021791998,0,23.64383847,5.776067723,0,26.12105687,49.90883983,0,0,0,20.94607041,22.75975168,6.737283737,34.9421228,0,7.820169062,37.74408501,0,0,15.72846698,4.371088154,7.734173352,7.41064866,8.392355747,0.782300684,2.086011494,35.58601813,70.87521108,18.38286562,36.33871904,0,35.84755803,4.191101956,4.429644335,0,6.660449993,20.23479861,4.608430125,10.8013024,0,0,4.864850986,22.27532859,0,0,0,7.30123128,58.89441667,0,6.514922941,48.54547121,24.02889065,30.20365279,39.37681288,122.7191021,197.0391919,16.94751064,29.77316344,28.34896424,10.32293005,8.672889878,78.04028754,46.11534682,39.38422849,8.856513551,2.791603912,23.74459987,4.736910556,0,0,26.92367731,36.15448301,18.08104143,1.938469925
VFG0634,660.3918497,660.3918497,0,2.015811932,0,0,0,6.739551751,0,0,0,10.05401332,0,1.905362152,0,10.54924607,0,22.12636217,0,0,0,0,0,0,0,0,0,0,0,3.762840972,0,0,0,0,0,0,0,44.36226089,0,0,0,13.89198434,0,0,5.36110138,0,0,1.613904471,0,0,1.897446734,0,0,3.290053816,3.820046123,1.991669678,13.63339697,0,0,0,0,0,0,0,0,5.670590284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VFG1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715230142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07907802,0,0,0,3.222019643,15.10864095,4.431919191,19.54409464,58.37945841,0,24.14955705,72.89219676,11.70209458,43.01069164,0,3.602836297,0,22.97301085,3.27249092,6.258405469,1.06330521,0,8.450505936,2.710610212,13.66709911,135.3386241,92.58824217,0,10.99217988,15.44120765,5.52875999,0,0,3.812224375,0,41.29828596,64.21603301,50.26227989,1.97619946,42.53237596,0,0,0,0,0,2.689067271,0,12.15190695,0,0,22.90055309,16.94751064,4.882808886,0,13.93340179,0,350.9684568,13.34917934,0,8.435537035,32.26192866,10.50930902,7.510957541,0,12.80525028,0,0,0,13.56928948
VFG1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13106162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204265387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.615682793,46.69943566,0,20.60462691,33.17014683,0,14.60205775,132.2230546,11.70209458,0,0,4.503545371,0,0,15.06867912,8.60530752,0,0,15.36455625,0,12.10107734,36.82469539,2.189710102,0,39.1117098,0,2.828667902,25.38547462,0,6.028633895,192.0222439,0,59.73584466,26.70183619,0,38.57587587,0,0,0,0,3.288400724,5.541108316,0,14.41272685,1.586903191,0,0,6.50311455,1.498908774,0,7.344738926,0,445.1307257,10.01188451,0,5.799431711,20.72641347,16.24165939,21.03068111,3.082622875,0,0,0,0,18.65777303
VFG0660,423.9552615,423.9552615,53.1224184,6.794032808,0,0,7.980355214,0.81124234,0,0.856379794,0.794319889,1.452246368,1.085459425,0,29.69278519,10.66645992,0,11.718777,12.54881775,0,0,0,0.778422443,0.842166757,0,0,1.592352575,1.941674246,34.1631439,4.076411053,3.484964587,0.745856316,0,0.856858662,1.801320358,5.15665443,0,0.82152335,1.200702073,4.102116883,38.09919023,17.46502557,1.678419734,1.498709264,0,0,0.387313006,2.331195347,0.418299324,0.911000414,1.827170929,0,0,11.0886999,0.919640733,1.917904135,1.406620323,0.487204339,0,106.9976225,0,0.408585269,0,0,0,6.370663159,4.12485687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VFG1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257818526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2479424,17.94543246,0,0,0,5.1826394,0,0,0,2.16653045,38.52703442,0,36.91662322,31.84334095,12.12249049,26.16202013,78.42194961,3.329044148,37.8197461,0,0,0,31.68691151,0,0,0,0,0,2.80407953,18.02643245,43.98505282,4.870217297,0,12.45780386,50.95598524,2.027211996,7.756672802,0,2.23475222,44.00509755,42.72236478,48.16202476,44.19614266,2.799615902,28.59935625,0,0,0,0,3.741973238,0,4.322554423,17.80882916,1.895467701,0,3.079729554,19.28509832,1.074217955,4.792766067,10.96610326,3.092678179,370.371591,2.761899174,0,1.546515123,17.1391496,14.88818777,13.77008882,0,14.51261698,0,0,2.995353249,15.44091561
VFG1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161508251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.22299278,0,0,0,3.789708818,39.40981426,27.46738134,68.74645742,77.62419284,3.868879945,34.81132957,77.00207594,10.60904179,0,4.623932773,7.588391468,0,36.2827711,0,13.4180023,0.398739454,6.417563382,2.012025223,2.854580351,6.473524654,39.15153054,101.3600611,0,4.064248068,0,4.945506189,6.205338242,1.628415654,11.52357794,0,32.84615448,71.20517572,0,1.439802464,0,0,0,0,0,3.281903884,1.139379871,0,13.77216121,0.48740598,0,10.90386517,5.992155549,6.781738627,0,3.697143384,1.921878583,297.6128733,6.840947226,10.51511149,9.739754817,24.87000006,10.10496149,7.106872591,0,9.023870814,0,1.223144756,5.420163021,13.60621271
