Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Amedibacterium|s_Amedibacterium_intestinale	6.80E-05	0.000207103	0.000141224	0.00026219	0.000184654	0.000377633	0.00024572	0.000198573	0.000235007	0.000296465	9.39E-05	0.000174933	0.000123642	0.000146803	0.000287221	0.000496068	5.61E-05	0.000270867	0.000111663	0.000359049	0.00036976	0.000118487	0.000151354	0.000215149	0.000117849	7.04E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerobutyricum|s_Anaerobutyricum_hallii	0.001094994	0.000688826	0.001146724	0.006815135	0.002719375	0.004619491	0.001963892	0.001211374	0.006778528	0.002774203	0.001908182	0.001521306	0.001201757	0.001323718	0.003164842	0.008940769	0.001012975	0.00172196	0.00246527	0.004521171	0.004810002	0.003955389	0.002759855	0.002208932	0.001177866	0.000926596
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerocolumna|s_Anaerocolumna_cellulosilytica	3.64E-05	3.18E-05	8.28E-05	0.000187263	0.000164703	0.000273906	0.00010119	5.15E-05	0.0002309	0.000131697	8.54E-05	0.000102818	7.59E-05	0.000104417	0.000123809	0.000322408	5.14E-05	6.90E-05	7.12E-05	0.000266637	0.00017565	0.000130929	0.00010636	0.000148133	7.18E-05	8.23E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerostipes|s_Anaerostipes_caccae	0.000104566	0.00017055	7.12E-05	0.000250628	0.000183189	0.00037073	8.78E-05	9.72E-05	0.000254498	0.000170767	9.33E-05	0.000144829	9.17E-05	0.000104019	0.000137092	0.000331795	6.60E-05	0.000152548	9.53E-05	0.000296145	0.000225916	0.00012734	0.000127401	0.000140786	7.77E-05	9.46E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerostipes|s_Anaerostipes_hadrus	0.001360153	0.00063415	0.00156127	0.005059492	0.003117215	0.006779997	0.002944563	0.000851613	0.004700912	0.002302727	0.002183627	0.002003047	0.00101542	0.001458154	0.001735543	0.003980184	0.000865529	0.002375005	0.00223426	0.005765225	0.010676781	0.005040435	0.003211609	0.001940497	0.001588668	0.001224996
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerostipes|s_Anaerostipes_rhamnosivorans	0.000179313	0.000101791	0.000162472	0.000784304	0.00025267	0.000500228	0.000175188	0.000347367	0.000347847	0.000843667	0.000121516	0.00022623	0.000130003	0.000131245	0.00029419	0.001083929	0.000322749	0.000332115	0.000146589	0.000890647	0.000702441	0.000491654	0.00033122	0.000185834	9.67E-05	0.00020329
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Anaerotignum|s_Anaerotignum_propionicum	3.81E-05	3.26E-05	3.17E-05	0.000177854	0.000157238	0.000171743	6.37E-05	4.99E-05	0.000192753	0.000136014	5.92E-05	5.80E-05	6.39E-05	8.81E-05	8.99E-05	0.000342445	0.000167669	0.000102754	5.70E-05	0.00023408	0.000196907	0.000109873	6.38E-05	8.46E-05	5.83E-05	5.29E-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Arabia|s_Arabia_massiliensis	2.32E-05	3.31E-05	3.87E-05	0.000103266	9.65E-05	0.000110538	3.66E-05	4.95E-05	0.000118896	8.85E-05	2.83E-05	5.71E-05	3.38E-05	4.15E-05	0.000135288	0.000184491	3.43E-05	7.70E-05	7.70E-05	7.24E-05	0.000178687	5.78E-05	4.50E-05	2.63E-05	1.82E-05	4.07E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus_cereus	3.70E-05	2.58E-05	0.000122283	0.000133646	4.12E-05	0.000291117	4.34E-05	8.92E-05	7.21E-05	9.04E-05	4.53E-05	9.78E-05	4.93E-05	5.30E-05	8.38E-05	0.000319881	5.66E-05	4.89E-05	0.000176426	0.000170566	0.00019475	4.57E-05	0.000122456	0.000137149	9.23E-05	5.58E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus_subtilis	3.00E-05	5.38E-05	0.00013774	0.000236345	5.87E-05	0.00011155	8.35E-05	3.55E-05	6.90E-05	0.000234129	6.40E-05	4.50E-05	4.89E-05	2.65E-05	7.83E-05	0.000107499	3.00E-05	6.52E-05	7.71E-05	0.000113838	0.000335557	5.32E-05	4.01E-05	5.68E-05	8.24E-05	4.91E-05
