Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus_faecalis	2.85E-05	2.88E-05	0.000171206	4.27E-05	2.85E-05	4.73E-05	2.56E-05	3.39E-05	3.86E-05	0.000192498	1.39E-05	2.43E-05	3.61E-05	1.76E-05	4.92E-05	0.000147304	1.73E-05	4.55E-05	3.51E-05	7.35E-05	5.56E-05	7.69E-05	2.52E-05	2.81E-05	9.08E-06	2.06E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus_faecium	8.66E-05	0.000218805	0.00029982	0.000468383	0.000321523	0.000431843	0.000251394	0.000130945	0.000219623	0.000442722	0.000119804	0.000171039	0.000185009	0.000284131	0.000577886	0.000563221	0.000175302	0.000230507	0.00023111	0.000422335	0.000491709	0.00019759	0.000182668	0.000239195	0.000118624	0.000101916
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus_saigonensis	5.87E-05	4.15E-05	0.000237942	0.000219229	0.000149425	0.000132719	7.17E-05	0.000162266	0.000330583	0.000216349	6.21E-05	0.000109333	7.60E-05	0.00015159	0.000153327	0.000394074	0.000118118	0.000134019	7.60E-05	0.000364311	0.000158469	0.000121358	0.000160199	7.18E-05	8.81E-05	8.30E-05
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_Erysipelatoclostridium_ramosum	6.47E-06	6.52E-06	2.95E-05	4.92E-05	9.60E-05	2.98E-05	1.68E-05	2.65E-05	9.15E-05	6.79E-05	1.94E-05	3.38E-05	4.59E-05	3.26E-05	4.99E-05	0.000161475	0.000187891	0.000597659	3.70E-05	5.12E-05	0.000143765	6.90E-05	4.35E-05	6.56E-05	3.84E-05	1.85E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia_coli	0.66060478	0.058398276	0.010680202	0.008190019	0.005589221	0.0332617	0.001934415	0.001502969	0.0034571	0.002772374	0.002966971	0.015419594	0.001643977	0.057590748	0.030964024	0.015756281	0.056662052	0.050785615	0.002014426	0.000983211	0.000683341	0.000948518	0.002465553	0.003594746	0.000136236	0.002688543
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ethanoligenens|s_Ethanoligenens_harbinense	0.000128175	0.000146008	0.000221651	0.000576637	0.000343009	0.000507039	0.000138703	0.000219386	0.000429571	0.000643049	0.000120599	0.000225406	0.000195773	0.000241347	0.000577968	0.000737693	0.000138742	0.000254763	0.000293278	0.000448793	0.000789467	0.000250086	0.00023821	0.00010635	9.21E-05	0.000190686
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium_callanderi	6.92E-05	0.000108056	0.000103686	0.000167312	9.04E-05	0.000175793	5.85E-05	6.74E-05	0.000163447	0.000298221	3.42E-05	0.000125059	6.17E-05	9.15E-05	0.000113068	0.000255164	0.000167535	0.000274303	7.08E-05	0.000195804	0.000226635	6.52E-05	0.000115205	8.66E-05	3.55E-05	8.51E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium_cellulosolvens	0.000100073	5.78E-05	8.41E-05	0.000354688	0.000363588	0.000480348	0.000158126	0.000156002	0.000392677	0.000279345	0.000170747	0.000210953	0.000161176	0.000186196	0.00020654	0.000494082	0.000104592	0.000175053	0.000170738	0.000487221	0.000303912	0.000240707	0.000227223	0.000248694	0.000136469	0.000156817
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium_limosum	0.000118177	0.000292637	0.000270819	0.000348	0.000158145	0.000917621	0.000122593	0.000115924	0.000253663	0.00031922	9.72E-05	0.000306358	0.000112599	8.84E-05	0.00057313	0.000736971	0.00013084	0.000140217	0.000133816	0.000296145	0.000301354	0.000153468	0.000138278	9.48E-05	5.87E-05	9.09E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium_maltosivorans	0.000148701	0.000307186	0.000166103	0.000242467	0.000482319	0.000539804	0.000189926	0.000205578	0.00034381	0.000425821	9.27E-05	0.000176506	0.000129653	0.000258102	0.00043776	0.000684801	0.000165124	0.000197019	0.000145791	0.000618748	0.0004261	0.000772271	0.000128829	0.000142122	5.97E-05	0.000121247
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_Faecalibacterium_prausnitzii	0.028526655	0.046718372	0.036555614	0.184718826	0.360116382	0.126294138	0.11136664	0.170399941	0.305466308	0.241764676	0.144683358	0.146737834	0.117927173	0.15387249	0.171597908	0.263047925	0.119544043	0.146635083	0.127910937	0.182714908	0.063738317	0.073228983	0.106440721	0.132828242	0.051977223	0.126717156
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalibaculum|s_Faecalibaculum_rodentium	5.64E-05	2.16E-05	4.45E-05	0.000106781	0.000154657	0.000144224	7.62E-05	8.26E-05	0.000164074	0.000115235	5.55E-05	7.83E-05	8.07E-05	0.000114889	0.000125203	0.000231065	5.32E-05	0.000106056	6.83E-05	0.000216695	0.000158389	8.59E-05	9.02E-05	5.95E-05	4.05E-05	7.65E-05
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalitalea|s_Faecalitalea_cylindroides	0.000513185	0.000589727	0.000479368	0.001202017	0.000643394	0.00222935	0.000677481	0.000973262	0.002364344	0.001097477	0.001205257	0.000759642	0.001039114	0.000855884	0.00293067	0.00215441	0.000479168	0.001666371	0.000794415	0.002702821	0.00301658	0.000954931	0.001110787	0.00114469	0.000537418	0.000412843
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_Filifactor|s_Filifactor_alocis	1.42E-05	3.31E-06	5.19E-05	3.25E-05	1.58E-05	3.31E-05	1.54E-05	2.30E-05	4.24E-05	3.12E-05	7.16E-06	1.73E-05	2.15E-05	1.69E-05	9.27E-06	5.44E-05	0.0001216	1.45E-05	1.12E-05	2.81E-05	2.57E-05	1.60E-05	9.17E-06	1.87E-05	2.23E-05	1.96E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Flavonifractor|s_Flavonifractor_plautii	0.001147145	0.0052903	0.012315421	0.003991233	0.002615433	0.00854796	0.00279969	0.005839842	0.006070234	0.004257334	0.002581445	0.005862213	0.00145023	0.002376768	0.009483457	0.010454244	0.001768153	0.018125384	0.002284254	0.008806432	0.007227469	0.003496132	0.003102283	0.001828877	0.000559606	0.001375318
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_hwasookii	4.10E-06	9.84E-07	1.58E-05	1.73E-05	5.72E-06	1.17E-05	3.08E-06	1.95E-06	7.38E-06	1.81E-05	8.44E-06	3.59E-06	1.03E-05	1.10E-06	2.21E-06	2.77E-05	3.17E-05	6.27E-06	3.39E-06	1.40E-05	1.80E-05	5.07E-06	3.46E-06	6.01E-06	2.64E-06	7.73E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_mortiferum	4.58E-06	1.19E-06	4.49E-05	1.33E-05	0.000191281	0.00030299	5.75E-06	2.42E-06	1.13E-05	0.001342727	0.001436793	7.41E-06	3.42E-06	1.02E-05	5.33E-06	2.33E-05	0.014559708	4.92E-06	8.08E-06	1.46E-05	8.15E-06	8.33E-06	3.57E-06	1.14E-05	1.50E-05	0.001517752
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_necrophorum	4.62E-06	6.73E-07	5.05E-06	1.30E-05	1.33E-05	2.37E-05	4.08E-06	5.66E-06	7.94E-06	3.02E-05	8.99E-06	9.66E-06	1.18E-05	1.15E-05	1.19E-05	2.42E-05	8.85E-05	1.10E-05	1.40E-05	1.17E-05	1.33E-05	5.69E-06	8.02E-06	8.31E-06	5.04E-06	1.21E-05
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_nucleatum	2.21E-05	1.12E-05	0.000110506	3.70E-05	3.27E-05	3.59E-05	2.07E-05	2.15E-05	4.55E-05	9.91E-05	2.47E-05	3.14E-05	5.43E-05	3.05E-05	1.26E-05	0.000122934	0.000209853	2.47E-05	6.64E-05	6.92E-05	2.38E-05	7.01E-05	2.41E-05	3.98E-05	3.83E-05	3.77E-05
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_periodonticum	1.76E-07	1.04E-07	3.23E-05	1.13E-06	2.58E-06	1.38E-06	1.61E-05	1.55E-06	8.35E-07	8.05E-06	0	1.27E-06	3.42E-06	2.29E-06	1.64E-07	1.45E-05	6.64E-05	1.68E-06	7.98E-07	1.01E-05	8.31E-06	2.01E-06	9.89E-07	5.86E-06	1.09E-06	9.28E-07
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium_pseudoperiodonticum	4.18E-06	2.49E-06	3.89E-05	7.37E-06	6.35E-06	1.20E-05	8.26E-06	1.09E-05	1.94E-05	1.94E-05	7.58E-06	5.17E-06	1.22E-05	2.12E-05	3.28E-06	4.45E-05	0.000838744	1.21E-05	1.91E-05	9.68E-06	1.32E-05	1.00E-05	3.41E-06	1.22E-05	3.41E-06	1.30E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Glaesserella|s_Glaesserella_parasuis	5.64E-06	3.78E-06	1.86E-06	1.02E-05	3.28E-06	8.74E-06	5.07E-06	3.23E-05	5.78E-06	4.10E-06	5.32E-06	1.65E-06	2.12E-05	3.39E-06	1.80E-06	5.34E-05	3.51E-05	1.31E-05	1.61E-05	7.78E-06	6.79E-06	5.84E-06	1.26E-05	1.12E-05	6.44E-06	1.04E-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Gordonibacter|s_Gordonibacter_pamelaeae	8.39E-05	0.000143264	0.000329164	0.000327143	0.00015389	0.000123699	5.08E-05	5.83E-05	0.000154885	0.000203326	7.16E-05	7.65E-05	4.53E-05	0.00010721	0.000249586	0.000435774	5.96E-05	0.000170808	8.65E-05	0.000125656	0.000391017	0.000163518	6.43E-05	4.22E-05	7.49E-05	8.11E-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Gordonibacter|s_Gordonibacter_urolithinfaciens	7.38E-05	4.24E-05	7.48E-05	9.91E-05	8.67E-05	0.000100874	9.20E-05	4.41E-05	0.00010741	0.000164329	2.46E-05	6.90E-05	4.50E-05	9.11E-05	0.000182106	0.000319971	0.000103521	7.18E-05	5.08E-05	6.10E-05	0.000151756	6.94E-05	3.95E-05	2.26E-05	3.75E-05	5.41E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus_haemolyticus	2.16E-06	1.14E-06	3.14E-06	2.38E-06	9.07E-06	1.16E-05	3.20E-06	6.80E-06	6.47E-06	8.34E-06	1.47E-05	4.64E-06	0.00019088	2.46E-05	7.22E-06	2.21E-05	5.88E-05	3.17E-06	4.07E-05	6.79E-06	3.84E-06	4.62E-05	3.85E-06	1.77E-05	4.35E-05	2.34E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus_influenzae	3.61E-06	2.43E-06	3.29E-06	7.14E-06	9.07E-06	1.66E-05	5.67E-06	4.06E-05	1.06E-05	1.53E-05	1.45E-05	9.66E-06	0.000202972	4.13E-05	1.40E-05	6.28E-05	8.99E-05	1.58E-05	5.55E-05	8.69E-06	7.11E-06	4.36E-05	8.52E-06	2.57E-05	5.09E-05	2.91E-05
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus_parahaemolyticus	7.05E-07	1.55E-07	4.42E-07	2.95E-06	1.19E-06	3.04E-06	2.67E-07	1.15E-05	1.23E-05	1.90E-06	9.36E-06	2.25E-06	0.000243441	5.29E-06	5.99E-06	1.22E-05	1.07E-05	3.84E-06	5.59E-06	6.33E-06	2.96E-06	5.65E-06	1.10E-06	4.45E-06	4.65E-06	4.18E-06
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus_parainfluenzae	5.84E-05	2.09E-05	7.12E-05	4.34E-05	0.000283852	0.000378369	5.31E-05	0.00015479	0.000162472	5.18E-05	0.000560309	0.000258431	0.008227152	0.001003883	0.000373805	0.00046899	0.002058895	9.02E-05	0.001682331	0.00026923	1.23E-05	0.001885168	0.000158825	0.00055535	0.00194105	0.000884531
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus_pittmaniae	1.59E-06	4.14E-07	2.06E-06	1.87E-05	6.42E-06	9.20E-06	1.10E-06	5.12E-06	5.50E-06	1.90E-06	0.000395983	4.72E-06	0.000859766	8.72E-05	5.62E-05	1.34E-05	8.45E-05	4.58E-06	2.05E-05	4.80E-06	1.92E-06	2.39E-05	5.55E-06	5.79E-06	2.50E-05	1.01E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Herbinix|s_Herbinix_luporum	3.46E-05	1.98E-05	6.00E-05	0.00015473	0.00014231	0.000170087	6.23E-05	8.04E-05	0.000162124	0.000116113	6.62E-05	8.53E-05	7.21E-05	8.24E-05	7.34E-05	0.000314375	4.98E-05	6.11E-05	7.53E-05	0.000221041	0.000143765	0.000104849	9.88E-05	0.00013329	4.60E-05	8.67E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Hungatella|s_Hungatella_hathewayi	0.000160329	0.000469244	0.000150155	0.000529822	0.000358565	0.000506671	0.00018448	0.000574972	0.000390031	0.000409505	0.000176801	0.000387085	0.000196612	0.000201754	0.00642332	0.000671352	0.00017249	0.0002299	0.000243883	0.000664878	0.000358173	0.000296409	0.00022118	0.00025849	0.000155942	0.000154652
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Intestinibaculum|s_Intestinibaculum_porci	1.54E-05	2.09E-05	3.20E-05	0.00020676	0.000490411	0.000213161	7.97E-05	0.00013822	0.000546169	0.000247079	7.74E-05	0.000119443	0.000182353	0.000107908	0.000186862	0.00072975	9.21E-05	0.000262445	0.000215742	9.81E-05	0.001104087	0.000265687	0.000281556	0.000184127	0.000131736	0.000105086
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Kingella|s_Kingella_kingae	5.73E-07	2.28E-06	1.23E-06	2.27E-06	6.14E-06	1.92E-05	1.64E-06	2.42E-06	1.04E-05	2.34E-06	4.28E-07	3.44E-06	7.90E-06	5.88E-06	1.72E-06	9.48E-06	4.82E-06	2.02E-06	2.99E-06	3.58E-06	1.73E-05	4.21E-06	5.11E-06	1.07E-05	1.94E-06	8.04E-06
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella_pneumoniae	0.000306255	7.40E-05	0.000239758	0.000150309	0.000372308	0.00034588	2.78E-05	0.001857746	0.00186551	0.0002203	3.03E-05	7.78E-05	5.31E-05	9.15E-05	0.00011192	0.000638678	0.000465776	0.005384864	0.001188479	0.000480359	0.00013841	8.04E-05	4.02E-05	5.19E-05	3.61E-05	0.000668869
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella_quasipneumoniae	4.62E-05	1.81E-05	1.44E-05	6.96E-05	3.44E-05	2.68E-05	1.76E-05	2.42E-05	7.30E-05	5.70E-05	1.22E-05	2.47E-05	1.80E-05	4.49E-06	1.58E-05	0.000267349	2.17E-05	1.29E-05	2.17E-05	3.50E-05	5.35E-05	1.52E-05	2.11E-05	4.41E-05	3.80E-06	1.28E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoanaerobaculum|s_Lachnoanaerobaculum_umeaense	5.93E-05	2.53E-05	6.84E-05	0.0003149	0.000235927	0.000376989	0.000130248	9.83E-05	0.000257909	0.000204058	0.000148242	0.000130526	0.000140836	0.000153385	0.000173087	0.000348493	8.44E-05	0.000118656	0.000168443	0.000412956	0.000205298	0.000189933	0.000177889	0.000177225	0.000120874	0.00012635
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoclostridium|s_Lachnoclostridium_phocaeense	0.000320922	0.000415708	0.000394918	0.000981542	0.000750127	0.001537499	0.000497343	0.000347704	0.001070829	0.000904833	0.000454938	0.000482415	0.000463607	0.000399718	0.001352144	0.00157783	0.000429483	0.000567069	0.000450844	0.001969854	0.001206936	0.000589468	0.000513229	0.000598098	0.000265024	0.000350905
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnoclostridium|s_Lachnoclostridium_phytofermentans	3.33E-05	2.29E-05	6.29E-05	0.000232038	0.000178794	0.000317164	0.000114062	8.43E-05	0.00024162	0.000134697	0.00012274	0.000121764	9.53E-05	0.000103819	9.13E-05	0.00031961	6.91E-05	8.43E-05	0.000102183	0.000270297	0.000168298	0.000154043	0.000139982	0.000191178	7.40E-05	9.81E-05
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospira|s_Lachnospira_eligens	0.000773675	0.000616702	0.000938862	0.005383347	0.003067057	0.005182029	0.00219076	0.000892163	0.002737877	0.002353723	0.002132073	0.001746413	0.002803029	0.003018332	0.002264314	0.002591538	0.001186536	0.001039267	0.001280883	0.003716455	0.001190234	0.001593593	0.002368368	0.007411321	0.001222321	0.001689029
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lacrimispora|s_Lacrimispora_saccharolytica	0.000128395	9.88E-05	0.000158154	0.000820464	0.000277365	0.000433132	0.00015885	0.00018207	0.000509971	0.00026237	0.000127449	0.000436584	0.000153347	0.00015159	0.00021105	0.000490652	0.000145036	0.000184688	0.000153275	0.000426223	0.000250449	0.000228265	0.000169703	0.000207802	0.000110944	0.00012751
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lacrimispora|s_Lacrimispora_sphenoides	7.77E-05	7.46E-05	8.14E-05	0.000303338	0.000262157	0.000360514	0.000127506	0.000150816	0.000238558	0.000217374	0.000115034	0.00026899	0.000121056	0.00016625	0.000163822	0.000437038	0.000102449	0.000146147	0.000128228	0.000377959	0.000201223	0.000236735	0.000186953	0.000277786	0.000127469	0.000128516
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactiplantibacillus|s_Lactiplantibacillus_plantarum	1.97E-05	1.20E-05	8.73E-05	4.92E-05	6.34E-05	7.62E-05	5.13E-05	2.55E-05	0.000123212	0.000124527	2.78E-05	4.41E-05	4.86E-05	4.11E-05	6.85E-05	0.000107229	2.45E-05	4.01E-05	3.85E-05	7.38E-05	8.37E-05	5.20E-05	2.54E-05	4.79E-05	4.34E-05	5.60E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus_crispatus	2.07E-06	7.77E-07	3.97E-06	8.96E-06	1.51E-05	2.62E-05	6.59E-06	2.76E-06	1.14E-05	1.60E-05	1.03E-05	6.00E-05	5.31E-06	4.99E-06	1.26E-05	3.84E-05	2.01E-06	1.19E-05	7.78E-06	6.48E-06	1.59E-05	8.47E-06	2.57E-05	3.71E-06	4.34E-06	2.24E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Limosilactobacillus|s_Lactobacillus_mucosae	1.63E-06	0.000173863	2.17E-05	6.23E-06	0.005810081	3.41E-05	0.000737045	0.000679512	0.005164175	7.39E-06	0.000419773	4.87E-06	1.41E-05	0.001194268	3.80E-05	4.62E-05	0.000216148	1.93E-05	7.98E-06	8.77E-06	8.23E-06	2.34E-06	1.92E-05	2.60E-06	3.49E-06	1.64E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_Lactococcus_lactis	2.10E-05	9.84E-06	3.43E-05	5.01E-05	6.48E-05	3.84E-05	2.08E-05	2.73E-05	9.92E-05	9.35E-05	3.74E-05	3.41E-05	3.84E-05	5.13E-05	5.24E-05	0.000165356	3.92E-05	3.05E-05	4.01E-05	8.52E-05	0.000105086	3.99E-05	3.62E-05	6.60E-05	1.98E-05	3.87E-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Lancefieldella|s_Lancefieldella_parvula	1.26E-05	7.66E-06	9.03E-06	4.53E-05	1.49E-05	4.22E-05	5.52E-06	2.28E-05	2.99E-05	4.84E-05	1.18E-05	2.13E-05	2.29E-05	2.11E-05	5.84E-05	0.000143694	2.21E-05	1.77E-05	1.84E-05	3.64E-05	3.38E-05	1.35E-05	1.07E-05	1.20E-05	1.67E-05	1.12E-05
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Lautropia|s_Lautropia_mirabilis	2.79E-05	9.37E-06	5.74E-06	1.41E-05	2.32E-05	4.14E-05	1.05E-05	2.09E-05	2.95E-05	2.75E-05	1.34E-05	1.09E-05	1.83E-05	1.60E-05	4.58E-05	4.91E-05	1.53E-05	1.35E-05	1.01E-05	2.81E-05	1.84E-05	1.05E-05	1.21E-05	1.91E-05	8.53E-06	1.63E-05
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_buccalis	3.52E-07	5.70E-07	8.00E-06	1.26E-05	3.14E-06	7.18E-06	6.09E-07	8.49E-06	7.73E-06	5.93E-06	8.44E-06	5.39E-06	3.22E-06	1.15E-05	1.64E-06	2.06E-05	2.81E-06	1.95E-06	3.79E-06	3.89E-06	5.91E-06	6.70E-06	4.61E-06	1.39E-05	1.78E-05	4.25E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_hofstadii	2.25E-06	1.09E-06	4.66E-06	1.95E-05	8.09E-06	2.30E-06	6.93E-06	2.16E-06	5.64E-06	1.30E-05	9.05E-06	1.27E-06	5.17E-06	1.16E-05	1.55E-05	1.40E-05	5.76E-06	6.74E-06	2.59E-06	4.73E-06	5.83E-06	8.42E-06	7.64E-06	2.37E-06	1.32E-06	7.96E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_hongkongensis	4.85E-07	6.21E-07	2.60E-06	4.42E-06	2.16E-06	3.13E-06	2.48E-06	1.41E-06	5.01E-06	9.51E-06	7.34E-07	8.24E-07	4.89E-06	1.50E-06	8.20E-07	1.50E-05	1.74E-06	4.85E-06	6.29E-06	9.76E-06	5.59E-06	1.58E-06	3.85E-06	2.67E-06	1.24E-06	1.86E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_shahii	1.54E-06	7.25E-07	1.76E-05	9.52E-06	1.82E-05	2.88E-05	4.65E-06	4.51E-06	1.27E-05	9.15E-06	4.95E-06	7.41E-06	9.30E-06	8.78E-06	5.08E-06	1.57E-05	2.54E-06	3.03E-06	1.32E-05	8.54E-06	8.23E-06	7.37E-06	7.42E-06	5.49E-06	7.14E-06	5.57E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_trevisanii	9.69E-07	2.59E-07	3.01E-05	7.59E-06	6.00E-06	1.35E-05	8.19E-06	2.76E-06	1.65E-05	4.98E-06	2.26E-06	3.67E-06	5.45E-06	2.49E-06	6.64E-06	3.75E-05	1.21E-05	4.65E-06	1.60E-06	9.00E-06	1.12E-05	8.23E-06	7.31E-06	1.03E-05	4.42E-06	2.78E-06
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia_wadei	7.80E-06	3.73E-06	9.81E-07	9.64E-06	1.14E-05	1.19E-05	4.99E-06	1.41E-06	7.87E-06	1.03E-05	4.95E-06	2.77E-06	9.30E-06	6.48E-06	3.69E-06	3.27E-05	5.49E-06	5.79E-06	6.09E-06	9.68E-06	2.11E-05	3.83E-06	1.15E-05	8.02E-06	2.87E-06	6.34E-06
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Libanicoccus|s_Libanicoccus_massiliensis	4.56E-05	6.29E-05	4.05E-05	0.000183182	0.000397003	0.000176437	3.46E-05	7.96E-05	0.000156695	0.000261785	5.71E-05	8.84E-05	8.88E-05	0.000130347	0.000294682	0.002822873	0.00013084	0.000110233	0.00010348	0.000156155	0.000319495	0.00013538	0.000100481	0.000109393	0.000110866	0.000148698
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Ligilactobacillus|s_Ligilactobacillus_ruminis	1.77E-05	0.003054515	3.69E-05	0.000146115	0.006426896	0.000205337	0.026398275	0.001843331	0.016778034	8.20E-05	0.002335416	0.002057189	0.000458854	0.002602557	0.003350228	0.023957462	0.004302198	0.013365536	8.75E-05	0.000185205	8.07E-05	0.000235108	0.009111983	0.000287583	8.15E-05	0.005738662
