group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Butyricicoccus	0.0007	0.0004	0.0002	0.0043	0.0024	0.001	0.0023	0.0021	0.0029	0.0021	0.0012	0.0016	0.0007	0.0012	0.0013	0.0016	0.0003	0.0012	0.0012	0.0038	0.0025	0.0004	0.0019	0.0006	0.0042	0.0006
g_Butyricimonas	0.0094	0.0041	0.0024	0.0066	0.0006	0	0.0019	0.0012	0.0004	0.0055	0.0003	0.0032	0.0003	0.001	0.0097	0.0024	0.0021	0.0005	0	0.004	0.0005	0.0008	0.0012	0.0001	0.0002	0.0006
g_Butyrivibrio	0	0	0	0.0025	0.0002	0	0.0001	0	0.0007	0	0	0	0	0.0004	0	0	0	0	0	0	0	0.008	0	0	0	0.0002
g_CAG-352	0	0.0003	0.0083	0.0003	0.0001	0.0001	0.0001	0	0	0.0032	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0	0.0001	0	0.0001	0	0	0.0003	0	0.0002	0
g_CAG-56	0.0002	0	0	0.0003	0	0.0009	0.0009	0	0.0005	0	0	0	0	0	0	0.0003	0	0	0	0.0035	0	0	0	0	0	0
g_Campylobacter	0.0002	0	0	0.0001	0.0001	0.0002	0	0.0001	0	0.0001	0	0.0001	0	0.0001	0.0001	0	0.0001	0.0002	0.0002	0.0001	0.0118	0	0	0.0001	0.0002	0.0063
g_Candidatus	0.0005	0.0001	0.0006	0.0025	0.0002	0.0017	0.0001	0.0001	0.0007	0.0002	0.0002	0.0001	0	0.0005	0.0002	0.0043	0.0001	0.0016	0.0007	0.0024	0.004	0.0002	0.0004	0.0041	0.0004	0.0007
g_Caproiciproducens	0.001	0.0004	0.0025	0	0.0001	0.0028	0.0003	0.0001	0.0001	0	0.0001	0	0	0.0003	0.0025	0	0.0001	0.0001	0	0.0007	0	0.0022	0.0005	0	0.0002	0
g_Catabacter	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Catenibacterium	0.0007	0.0003	0.0017	0.0096	0.035	0.0028	0.0046	0.0065	0.0243	0.0123	0.0044	0.0008	0.0068	0.0018	0.0103	0.0108	0.0027	0.0289	0.0185	0.0021	0.0967	0.0277	0.0298	0.0095	0.015	0.0081
g_Christensenellaceae	0.0156	0.0303	0.0526	0.0054	0.0026	0.019	0.0057	0.0017	0.0057	0.1163	0.0027	0.0073	0.0048	0.0027	0.0063	0.0084	0.0014	0.009	0.0019	0.0146	0.0079	0.0159	0.0067	0.003	0.0025	0.0033
g_Chryseobacterium	0.034	0.0002	0.0001	0	0.0002	0.0001	0	0.0001	0.0002	0.0001	0.0002	0.0001	0	0	0.0004	0.0001	0	0.0001	0	0	0.0001	0.0001	0	0	0	0
